name|description|website|founded_year|stage|sector|business_model|headquarters|employee_count|status|total_funding|last_funding_date|exit_date|exit_value
4books|4books è l'app che ti permette di migliorare te stesso attraverso l'analisi dei migliori libri, podcast esclusivi, notizie da tutto il mondo in più di 28 skills differenti. Ogni giorno un nuovo contenuto per aggiornarti su marketing, gestione, crescita personale, leadership, investimenti, imprenditorialità e molto altro e ogni giorno una rassegna curata di news e strumenti in ambito business e tech.|https://4books.com/it|2017|Seed|EdTech||Milan, Italy|11-50|active||||
7Seconds App|7Seconds App rivoluzionerà il mondo del marketing attraverso una nuova piattaforma che riposizionerà al centro i brand, le aziende e le persone.|https://7ssapp.com/|2025||Marketing||Milan, Italy|1-10|active||||
Adaptronics|We produce electro-adhesive interfaces with tactile sensing feedback that can be easily mounted on any automatic machine or robot end effector. The product is based on the Electro Active Adhesive Layer (EAAL) implemented on a Conformable Back Structure, mounted as plug-&-play device on a Mounting Predisposition and powered by a standard 24V electronic unit.|https://www.adaptronics.it/|2022||Aerospace, BioTech, Robotics||Bologna, Italy|1-10|active||||
Agrenta|Agrenta è una startup che sviluppa e implementa soluzioni tecnologiche avanzate per migliorare la competitività e la sostenibilità dell’intera filiera agroalimentare. Attraverso la collaborazione con aziende, enti pubblici e centri di ricerca, Agrenta promuove metodi innovativi per la produzione, trasformazione e promozione dei prodotti locali. L’azienda offre anche servizi di formazione specializzata e supporta lo sviluppo territoriale con un forte approccio orientato alla resilienza e alla valorizzazione delle risorse locali|https://www.agrenta.com/|2019||B2B, FoodTech, GreenTech, Sustainability||Pula, Italy|1-10|active||||
AISent|AISent è una azienda tecnologica specializzata in Intelligenza Artificiale, Machine Learning e Computer Vision.|https://aisent.io/|2018||Machine Learning, AI||Gorle, Italy|11-50|active||||
AISPOT|""" Siamo ambiziosi, vogliamo rivoluzionare il futuro del monitoraggio in agricoltura. Per farlo abbiamo sviluppato e brevettato una tecnologia all'avanguardia per rilevare e prevenire le malattie trasmesse per via aerea nei campi coltivati."|https://www.aispot.it/|2023||BioTech||Mantova, Italy|1-10|active||||
Algor|At Algor, we're pioneering the future of education through the power of Artificial Intelligence. Our innovative AI tool is designed to transform text, recordings, and images into engaging visual learning materials, such as dynamic presentations and intuitive mindmaps.|https://www.algoreducation.com/it|2021|Seed|AI, EdTech||Turin, Italy|11-50|active||||
Alla Grande srl|Alla Grande SRL è una società di Intrattenimento&Spettacolo e Event Planning, che da anni cura il servizio dell’intrattenimento all'interno di strutture ricettive e l’organizzazione di Eventi di vario genere non solo nell'ambito dell’animazione, ma anche della progettazione e della gestione. Il nostro prodotto è sviluppato nella totale collaborazione con il cliente e prevede la costante implementazione dal punto di vista innovativo e selettivo. Proponiamo una programmazione studiata su misura per ogni struttura e per ogni circostanza, che sia sempre attenta alle diverse esigenze, mantenendo sempre un elevato standard qualitativo.|https://www.allagrande.net/|2012||Events||Rome, Italy|51-200|active||||
ALOE|ALOE is a hotel experience platform connecting guests with curated local activities.|https://www.aloesuite.com/|2023||Tourism, Travel, Software||Milan, Italy|1-10|active||||
Always Friday|Expert event planning meets next-generation AI-powered software to deliver exceptional experiences. We aim to simplify planning for company kickoffs, team building, and retreats. Our all-in-one platform enables companies to manage everything from guest lists and finances to creating agendas in one place. To date, we've successfully brought together over 3,250 participants.|https://www.alwaysfriday.it/|2024|Pre-Seed|AI, Software, Events||Milan, Italy|1-10|active||||
Amalia|Amalia è una startup innovativa a vocazione sociale che porta una ventata di aria fresca nel mondo dell'assistenza anziani. Siamo l'agenzia del lavoro digitale per eccellenza, specializzati nel profilare con tecnologie avanzate il personale domestico perfetto per le famiglie che cercano un supporto affidabile per i propri cari non più autosufficienti.|http://www.amaliacare.it/|2020||HealthTech, HR, Founded by Women||Brescia, Italy|11-50|active||||
amuseapp|Il futuro delle visite al museo? amuseapp📱 La soluzione digitale per esplorare i musei italiani prima, durante e dopo la visita🏛️|https://www.amuseapp.it/|2015||Marketing, Mobile||Belluno, Italy|1-10|active||||
Antares Electrolysis|Antares Electrolysis aims to address the growing global need for sustainable energy solutions by developing advanced electrolytic processes based on the anion exchange membrane (AEM) technology to produce green hydrogen production and other e-fuels/e-chemicals. Our product offerings cater to the Power-to-X sector and include small-to-medium size stacks (10-100 kW), laboratory equipment, consultancy and R&D services.|https://antares-electrolysis.com/|2024||GreenTech||Genoa, Italy|1-10|active||||
Appbox.cloud|Forget the complexity of managing dozens of different software.|https://appbox.cloud/|2023|Bootstrapped|Software||Milan, Italy|1-10|active|0.0|||
Aptadir Therapeutics|We discovered a new class of specialized RNAs interacting with the mammalian DNMT1 – DNMT1-interacting RNAs (DiRs). DiRs prevent DNA methylation and gene silencing in a locus-specific manner, by binding and inhibiting DNMT1 are able to reactivate suppressed genes|https://aptadir.com/|2022||BioTech||Milan, Italy|1-10|active||||
Arkemis|Collaboriamo con aziende enterprise per supportare l’evoluzione tecnologica dei loro dipartimenti IT, aiutandole a migliorare processi, architetture e strumenti attraverso soluzioni software scalabili e moderne.|https://arkehub.com/|2020||Software||Milan, Italy|11-50|active||||
